Height (m),Start Time,End Time
2.0,132428,132448
1.9,132551,132611
1.8,132630,132650
1.7,132750,132810
1.6,132829,132849
1.5,132906,132926
1.4,132947,133007
1.3,133041,133101
1.2,133120,133140
1.1,133208,133228
1.0,133301,133321
0.9,133338,133358
0.8,133425,133445
0.7,133513,133533
0.6,133547,133607
0.5,133629,133649
0.4,133703,133723
0.3,133803,133823
0.2,133845,133905
1.0,133958,134012
0.9,134027,134047
0.8,134104,134124
0.7,134147,134207
0.6,134222,134242
0.5,134308,134328
0.4,134410,134430
0.3,134503,134523
0.2,134554,134614
